earth , jupiter , mars , venus , saturn , mercury , uranus , neptune , sun 
-0.454835 0.877129 0.000068 , 3.129204 -4.002996 -0.053402 , 0.409201 1.475126 0.020694 , -0.156753 -0.703599 -0.000971 , 5.553053 -8.286900 -0.076989 , 0.340006 -0.007530 -0.032799 , 15.303146 12.513438 -0.151779 , 29.462263 -5.176058 -0.572396 , -0.006760 0.005911 0.000109 
-0.531166 0.833527 0.000072 , 3.158360 -3.977834 -0.054159 , 0.343836 1.498328 0.022784 , -0.056921 -0.718030 -0.006930 , 5.574644 -8.271403 -0.078118 , 0.291723 0.144211 -0.015970 , 15.290544 12.527738 -0.151563 , 29.464869 -5.160505 -0.572776 , -0.006794 0.005881 0.000110 
-0.603349 0.783378 0.000075 , 3.187337 -3.952448 -0.054913 , 0.277747 1.518450 0.024828 , 0.043889 -0.718369 -0.012753 , 5.596194 -8.255843 -0.079247 , 0.181284 0.267152 0.004208 , 15.277927 12.542027 -0.151346 , 29.467468 -5.144951 -0.573157 , -0.006827 0.005851 0.000111 
-0.670815 0.727082 0.000079 , 3.216133 -3.926838 -0.055663 , 0.211078 1.535486 0.026821 , 0.143713 -0.704634 -0.018325 , 5.617702 -8.240221 -0.080375 , 0.028914 0.331843 0.023472 , 15.265295 12.556303 -0.151129 , 29.470059 -5.129395 -0.573537 , -0.006860 0.005821 0.000112 
-0.733039 0.665091 0.000083 , 3.244748 -3.901005 -0.056410 , 0.143969 1.549437 0.028761 , 0.240617 -0.677113 -0.023540 , 5.639167 -8.224537 -0.081502 , -0.130938 0.328288 0.037845 , 15.252649 12.570567 -0.150913 , 29.472641 -5.113838 -0.573916 , -0.006893 0.005790 0.000113 
-0.789535 0.597901 0.000087 , 3.273178 -3.874951 -0.057154 , 0.076560 1.560312 0.030643 , 0.332725 -0.636358 -0.028296 , 5.660591 -8.208792 -0.082629 , -0.268804 0.267593 0.045532 , 15.239988 12.584819 -0.150696 , 29.475215 -5.098279 -0.574296 , -0.006926 0.005760 0.000114 
-0.839871 0.526051 0.000092 , 3.301422 -3.848678 -0.057895 , 0.008987 1.568123 0.032465 , 0.418257 -0.583167 -0.032502 , 5.681971 -8.192985 -0.083756 , -0.369150 0.169394 0.046713 , 15.227313 12.599058 -0.150478 , 29.477781 -5.082719 -0.574676 , -0.006959 0.005729 0.000115 
-0.883665 0.450113 0.000096 , 3.329478 -3.822185 -0.058633 , -0.058617 1.572888 0.034224 , 0.495559 -0.518579 -0.036077 , 5.703309 -8.177116 -0.084881 , -0.427448 0.052199 0.042485 , 15.214622 12.613286 -0.150261 , 29.480338 -5.067157 -0.575055 , -0.006991 0.005698 0.000117 
-0.920589 0.370693 0.000101 , 3.357345 -3.795475 -0.059367 , -0.126122 1.574631 0.035918 , 0.563137 -0.443844 -0.038952 , 5.724604 -8.161185 -0.086006 , -0.445040 -0.069495 0.034155 , 15.201917 12.627501 -0.150044 , 29.482888 -5.051594 -0.575434 , -0.007024 0.005666 0.000118 
-0.950375 0.288422 0.000106 , 3.385020 -3.768549 -0.060098 , -0.193399 1.573379 0.037543 , 0.619681 -0.360409 -0.041070 , 5.745856 -8.145193 -0.087131 , -0.425836 -0.184872 0.022965 , 15.189198 12.641705 -0.149826 , 29.485429 -5.036030 -0.575813 , -0.007056 0.005635 0.000119 
