earth , jupiter 
0.661344 -0.748583 0.000045 , 4.102816 -2.887715 -0.079809 
0.703330 -0.709672 0.000047 , 4.116867 -2.865844 -0.080214 
0.742987 -0.668409 0.000050 , 4.130810 -2.843899 -0.080617 
0.780185 -0.624933 0.000053 , 4.144644 -2.821879 -0.081018 
0.814801 -0.579389 0.000055 , 4.158370 -2.799785 -0.081417 
0.846722 -0.531930 0.000057 , 4.171987 -2.777618 -0.081813 
0.875845 -0.482712 0.000059 , 4.185494 -2.755378 -0.082208 
0.902075 -0.431900 0.000060 , 4.198892 -2.733065 -0.082600 
0.925324 -0.379661 0.000062 , 4.212179 -2.710680 -0.082990 
0.945516 -0.326168 0.000063 , 4.225355 -2.688225 -0.083378 
0.962585 -0.271599 0.000063 , 4.238420 -2.665698 -0.083763 
0.976475 -0.216133 0.000064 , 4.251373 -2.643101 -0.084147 
0.987138 -0.159954 0.000064 , 4.264214 -2.620435 -0.084528 
0.994539 -0.103247 0.000064 , 4.276943 -2.597700 -0.084907 
0.998651 -0.046200 0.000064 , 4.289559 -2.574896 -0.085284 
0.999460 0.010999 0.000064 , 4.302062 -2.552024 -0.085659 
0.996961 0.068161 0.000063 , 4.314452 -2.529085 -0.086031 
0.991159 0.125095 0.000062 , 4.326727 -2.506078 -0.086401 
0.982072 0.181614 0.000061 , 4.338888 -2.483006 -0.086769 
0.969726 0.237529 0.000060 , 4.350934 -2.459868 -0.087134 
0.954159 0.292653 0.000058 , 4.362865 -2.436665 -0.087497 
0.935420 0.346803 0.000056 , 4.374680 -2.413397 -0.087858 
0.913567 0.399797 0.000054 , 4.386379 -2.390065 -0.088217 
0.888669 0.451457 0.000052 , 4.397963 -2.366670 -0.088573 
0.860805 0.501608 0.000049 , 4.409429 -2.343212 -0.088927 
0.830064 0.550082 0.000047 , 4.420778 -2.319692 -0.089278 
0.796544 0.596712 0.000044 , 4.432010 -2.296111 -0.089627 
0.760354 0.641340 0.000041 , 4.443124 -2.272468 -0.089974 
0.721610 0.683812 0.000038 , 4.454121 -2.248765 -0.090318 
0.680439 0.723982 0.000034 , 4.464998 -2.225002 -0.090660 
0.636974 0.761711 0.000031 , 4.475757 -2.201180 -0.091000 
0.591360 0.796866 0.000027 , 4.486396 -2.177299 -0.091337 
0.543745 0.829323 0.000023 , 4.496916 -2.153360 -0.091671 
0.494288 0.858968 0.000020 , 4.507316 -2.129364 -0.092004 
0.443152 0.885694 0.000016 , 4.517596 -2.105311 -0.092333 
0.390509 0.909404 0.000012 , 4.527755 -2.081201 -0.092661 
0.336535 0.930012 0.000008 , 4.537793 -2.057036 -0.092985 
0.281411 0.947440 0.000004 , 4.547710 -2.032817 -0.093308 
0.225325 0.961622 -0.000001 , 4.557505 -2.008542 -0.093627 
0.168466 0.972504 -0.000005 , 4.567179 -1.984215 -0.093945 
0.111029 0.980040 -0.000009 , 4.576730 -1.959834 -0.094260 
0.053210 0.984198 -0.000013 , 4.586158 -1.935400 -0.094572 
-0.004792 0.984957 -0.000017 , 4.595464 -1.910915 -0.094882 
-0.062776 0.982307 -0.000021 , 4.604647 -1.886378 -0.095189 
-0.120542 0.976251 -0.000025 , 4.613706 -1.861791 -0.095493 
-0.177888 0.966802 -0.000029 , 4.622641 -1.837154 -0.095795 
-0.234614 0.953987 -0.000033 , 4.631452 -1.812467 -0.096095 
-0.290521 0.937845 -0.000037 , 4.640139 -1.787732 -0.096392 
-0.345412 0.918426 -0.000041 , 4.648701 -1.762949 -0.096686 
-0.399093 0.895792 -0.000044 , 4.657137 -1.738118 -0.096978 
-0.451374 0.870016 -0.000048 , 4.665449 -1.713241 -0.097267 
-0.502069 0.841185 -0.000051 , 4.673635 -1.688317 -0.097554 
-0.550997 0.809395 -0.000054 , 4.681695 -1.663348 -0.097837 
-0.597984 0.774753 -0.000057 , 4.689629 -1.638334 -0.098119 
-0.642860 0.737378 -0.000060 , 4.697437 -1.613277 -0.098397 
-0.685465 0.697398 -0.000062 , 4.705118 -1.588175 -0.098673 
-0.725645 0.654951 -0.000065 , 4.712672 -1.563031 -0.098947 
-0.763256 0.610186 -0.000067 , 4.720098 -1.537844 -0.099217 
-0.798160 0.563258 -0.000069 , 4.727398 -1.512616 -0.099485 
-0.830233 0.514331 -0.000070 , 4.734569 -1.487347 -0.099750 
-0.859358 0.463579 -0.000072 , 4.741613 -1.462038 -0.100013 
-0.885430 0.411180 -0.000073 , 4.748528 -1.436689 -0.100273 
-0.908354 0.357319 -0.000074 , 4.755314 -1.411302 -0.100530 
-0.928047 0.302187 -0.000074 , 4.761972 -1.385876 -0.100784 
-0.944439 0.245981 -0.000075 , 4.768501 -1.360412 -0.101036 
-0.957471 0.188899 -0.000075 , 4.774901 -1.334912 -0.101285 
-0.967096 0.131145 -0.000075 , 4.781171 -1.309376 -0.101531 
-0.973279 0.072924 -0.000075 , 4.787311 -1.283804 -0.101774 
-0.976000 0.014443 -0.000074 , 4.793322 -1.258197 -0.102015 
-0.975250 -0.044089 -0.000073 , 4.799202 -1.232556 -0.102253 
-0.971033 -0.102464 -0.000072 , 4.804952 -1.206882 -0.102488 
-0.963366 -0.160476 -0.000071 , 4.810572 -1.181174 -0.102720 
-0.952279 -0.217918 -0.000070 , 4.816060 -1.155435 -0.102950 
-0.937813 -0.274587 -0.000068 , 4.821418 -1.129664 -0.103177 
-0.920023 -0.330284 -0.000066 , 4.826645 -1.103863 -0.103401 
-0.898975 -0.384811 -0.000064 , 4.831740 -1.078031 -0.103622 
-0.874747 -0.437978 -0.000061 , 4.836703 -1.052170 -0.103840 
